Domestic Violence Victim Injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current date: 6/12/2025 9:35:26 AM (Mountain Daylight Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measures: Number of Victims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Colorado_SS, Victim Data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victim to Offender Relationship: Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offense Type: Domestic Violence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incident Date,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurisdiction by Geography,Adams County,Alamosa County,Arapahoe County,Archuleta County,Baca County,Bent County,Boulder County,Chaffee County,Cheyenne County,Clear Creek County,Conejos County,Costilla County,Crowley County,Custer County,Delta County,Denver County,Dolores County,Douglas County,Eagle County,Elbert County,El Paso County,Fremont County,Garfield County,Gilpin County,Grand County,Gunnison County,Hinsdale County,Huerfano County,Jackson County,Jefferson County,Kiowa County,Kit Carson County,Lake County,La Plata County,Larimer County,Las Animas County,Lincoln County,Logan County,Mesa County,Mineral County,Moffat County,Montezuma County,Montrose County,Morgan County,Otero County,Ouray County,Park County,Phillips County,Pitkin County,Prowers County,Pueblo County,Rio Blanco County,Rio Grande County,Routt County,Saguache County,San Juan County,San Miguel County,Sedgwick County,Summit County,Teller County,Washington County,Weld County,Yuma County,Broomfield County,Colorado Bureau of Investigation,Colorado State Patrol
Type of Injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Types of Injury,"4,490",107,958,28,3,6,814,40,,26,2,,16,15,101,"4,073",8,588,152,22,"2,755",72,282,30,78,53,2,,1,"1,606",,19,22,121,786,69,6,88,719,1,61,147,130,89,29,11,6,4,26,19,650,19,31,96,6,3,13,,127,59,12,"1,151",8,191,,7
Apparent Minor Injury,"2,377",38,580,17,1,5,349,33,,19,,,9,3,39,"2,109",2,292,87,18,"1,557",37,128,13,31,28,2,,,884,,19,11,56,427,36,5,10,435,,33,92,51,36,20,8,5,1,16,15,382,11,21,55,6,,10,,73,20,5,642,6,80,,3
None,"1,476",20,284,8,2,,365,3,,4,2,,2,5,18,830,2,247,55,,849,14,126,11,30,15,,,1,561,,,9,36,239,13,,60,206,,10,13,42,40,3,1,,1,7,3,120,2,4,26,,2,2,,34,20,3,398,1,84,,4
Possible Internal Injury,154,1,12,1,,,18,1,,,,,,1,1,580,1,10,2,1,42,,,1,3,,,,,41,,1,1,4,28,,,11,3,,1,,1,,2,1,1,,,,53,1,,7,,,,,1,,,16,,,,
Unconsciousness,94,2,13,,,,7,,,,,,,1,6,79,1,3,,1,29,1,2,,1,1,,,,28,,,1,2,13,,,,17,,2,1,7,2,,,,,,,10,2,2,5,,,,,,,,21,,1,,
Other Major Injury,73,1,13,,,1,13,1,,,,,,,,268,2,5,,1,88,4,12,4,4,2,,,,16,,,,3,16,14,,,8,1,1,2,2,3,1,1,,,1,,16,1,,2,,,,,3,,,17,,5,,
Apparent Broken Bones,47,1,5,,,,5,,,,,,,,,48,1,3,,,20,,1,,,1,,,,19,,1,,,8,,,,6,,1,,1,,,,,,,,8,1,,,,,,,1,,,7,,,,
Severe Laceration,38,1,8,,,,8,,,,,,,,2,67,,1,1,,22,2,,,,,,,,12,,,,4,3,,,3,6,1,3,2,1,1,,,,1,,1,10,,1,,,,1,,,,,14,,,,
Loss of Teeth,4,,,,,,,,,,,,1,,,15,,2,,,1,,,,,1,,,,4,,,,,2,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,3,,,,
