Domestic Violence Victim Injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current date: 6/12/2025 9:40:23 AM (Mountain Daylight Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measures: Number of Victims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Colorado_SS, Victim Data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victim to Offender Relationship: Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offense Type: Domestic Violence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incident Date,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurisdiction by Geography,Adams County,Alamosa County,Arapahoe County,Archuleta County,Baca County,Bent County,Boulder County,Chaffee County,Cheyenne County,Clear Creek County,Conejos County,Costilla County,Crowley County,Custer County,Delta County,Denver County,Dolores County,Douglas County,Eagle County,Elbert County,El Paso County,Fremont County,Garfield County,Gilpin County,Grand County,Gunnison County,Hinsdale County,Huerfano County,Jackson County,Jefferson County,Kiowa County,Kit Carson County,Lake County,La Plata County,Larimer County,Las Animas County,Lincoln County,Logan County,Mesa County,Mineral County,Moffat County,Montezuma County,Montrose County,Morgan County,Otero County,Ouray County,Park County,Phillips County,Pitkin County,Prowers County,Pueblo County,Rio Blanco County,Rio Grande County,Routt County,Saguache County,San Juan County,San Miguel County,Sedgwick County,Summit County,Teller County,Washington County,Weld County,Yuma County,Broomfield County,Colorado Bureau of Investigation,Colorado State Patrol
Type of Injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Types of Injury,"4,601",90,907,50,6,7,868,37,,40,3,,18,14,89,"3,655",2,503,155,32,"2,725",151,260,34,22,48,2,4,1,"1,607",2,15,17,113,864,50,14,85,708,,63,160,164,104,63,11,33,9,34,23,890,20,56,88,17,1,12,,115,79,14,989,10,170,,1
Apparent Minor Injury,"2,327",25,529,25,4,7,350,32,,26,,,14,2,47,"1,973",2,219,85,4,"1,529",82,131,27,15,29,1,4,1,882,2,10,9,55,485,38,12,14,432,,44,113,76,46,42,9,5,5,21,20,443,17,23,39,10,1,6,,73,42,10,575,7,70,,1
None,"1,633",17,272,18,,,365,3,,7,3,,,7,19,682,,249,62,28,743,42,102,6,5,13,1,,,515,,3,1,30,266,4,,62,187,,4,14,49,32,13,1,1,3,6,1,202,1,16,30,2,,3,,32,18,,299,1,76,,
Possible Internal Injury,153,,28,,,,27,,,,,,2,,,482,,6,1,,105,4,1,,,,,,,60,,,1,8,16,,,3,3,,,,,,,,4,,1,1,36,,,,1,,,,1,,,9,,1,,
Unconsciousness,99,,5,,1,,8,,,,,,,,2,109,,6,,,34,1,1,,,,,,,34,,,,1,18,,,,16,,3,1,6,11,1,,2,,,,23,1,1,,,,,,,1,,18,,3,,
Other Major Injury,98,1,33,1,2,,23,,,,,,,,1,242,,5,,,93,1,7,,,1,,,,34,,,2,2,9,1,,1,12,,2,4,2,6,1,,13,,2,1,21,1,3,2,,,,,2,2,,13,,3,,
Apparent Broken Bones,55,,6,,,,7,1,,,,,,,1,35,,3,,,21,2,2,,,,,,,19,,,,1,6,3,,,5,,2,,,,1,,,,2,1,7,,,1,,,1,,1,1,,15,2,,,
Severe Laceration,48,,10,,,,7,1,,,,,2,,1,64,,2,,,25,,,,1,1,,,,20,,,1,1,7,,1,,6,,2,2,1,2,,,1,,,1,7,,1,,1,,1,,,,,7,,1,,
Loss of Teeth,9,,,,,,1,,,,,,1,,,10,,,,,3,,,,,1,,,,4,,,,,1,,,,1,,,,,,1,,,1,,,1,,,,,,,,1,,,1,,1,,
