Domestic Violence Victim Injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current date: 6/12/2025 9:38:21 AM (Mountain Daylight Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measures: Number of Victims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Colorado_SS, Victim Data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victim to Offender Relationship: Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offense Type: Domestic Violence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incident Date,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurisdiction by Geography,Adams County,Alamosa County,Arapahoe County,Archuleta County,Baca County,Bent County,Boulder County,Chaffee County,Cheyenne County,Clear Creek County,Conejos County,Costilla County,Crowley County,Custer County,Delta County,Denver County,Dolores County,Douglas County,Eagle County,Elbert County,El Paso County,Fremont County,Garfield County,Gilpin County,Grand County,Gunnison County,Hinsdale County,Huerfano County,Jackson County,Jefferson County,Kiowa County,Kit Carson County,Lake County,La Plata County,Larimer County,Las Animas County,Lincoln County,Logan County,Mesa County,Mineral County,Moffat County,Montezuma County,Montrose County,Morgan County,Otero County,Ouray County,Park County,Phillips County,Pitkin County,Prowers County,Pueblo County,Rio Blanco County,Rio Grande County,Routt County,Saguache County,San Juan County,San Miguel County,Sedgwick County,Summit County,Teller County,Washington County,Weld County,Yuma County,Broomfield County,Colorado Bureau of Investigation,Colorado State Patrol
Type of Injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Types of Injury,"4,609",124,914,44,21,12,941,33,,31,5,,15,16,87,"3,802",7,571,173,33,"2,785",122,247,47,48,31,1,,,"1,599",1,14,40,96,859,71,6,89,640,,49,116,149,106,48,10,1,5,20,13,732,9,37,88,10,3,14,,112,52,19,"1,109",11,180,,
Apparent Minor Injury,"2,418",45,538,30,12,8,402,29,,17,,,3,6,37,"2,040",4,243,101,18,"1,611",74,128,41,25,17,1,,,922,1,13,26,47,482,38,5,8,370,,40,79,71,58,29,6,,4,9,9,401,5,27,25,8,1,9,,75,26,10,601,9,85,,
None,"1,521",25,277,10,4,2,380,1,,8,5,,3,3,18,697,1,289,50,13,793,25,99,3,16,10,,,,508,,,5,31,251,12,,64,168,,3,15,47,25,13,2,1,1,9,2,133,2,6,40,,2,3,,29,14,1,375,1,73,,
Possible Internal Injury,157,1,27,,1,,30,,,,,,1,,,504,,7,2,1,56,3,1,,,,,,,47,,,1,4,33,,,13,2,,1,1,,1,,,,,,,44,,,2,,,,,2,,,30,2,3,,
Unconsciousness,99,4,18,2,,1,15,,,1,,,,,3,99,,6,,,37,1,,,,,,,,28,,2,1,2,25,,,,8,,,,6,7,,,,,,,14,,,1,,,,,1,,,19,,1,,
Other Major Injury,72,3,21,1,,1,16,,,1,,,,1,,268,,6,4,,106,1,6,2,,,,,,29,,,2,,18,6,,,11,,,4,1,6,2,,,,1,,14,,,,,,,,3,,,24,,5,,
Apparent Broken Bones,44,,3,1,1,,9,,,,,,,,,54,,9,,,19,2,1,,,2,,,,21,,,2,1,10,1,,,5,,,,4,,,,,,,1,5,,1,1,1,,,,,,,16,,2,,
Severe Laceration,43,,8,,,,7,,,,,,,,,68,,3,,,23,1,3,,,,,,,18,,,,1,4,1,,1,9,,,3,1,1,2,,,,,1,11,,,1,1,,,,1,2,,21,1,1,,
Loss of Teeth,13,,2,,1,,1,,,,,,,,,19,,,,,,,,,,,,,,2,,,,,4,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,
